family,config,learner,fold,mae
process parameters,pp,LightGBMModel,7,0.2715410148070737
process parameters,pp,LightGBMModel,8,0.1337463248207864
process parameters,pp,LightGBMModel,9,0.008887871086241252
process parameters,pp,LightGBMModel,10,0.255373273699961
process parameters,pp,LightGBMModel,11,0.10218226139602135
process parameters,pp,LightGBMModel,12,0.009478371224096348
process parameters,pp,LightGBMModel,13,0.005640000477433205
process parameters,pp,LightGBMModel,14,0.009416676279316406
process parameters,pp,LightGBMModel,15,0.00953458344426355
process parameters,pp,LightGBMModel,16,0.033583049208186
process parameters,pp,ShallowMLPModel,1,0.07439970970153809
process parameters,pp,ShallowMLPModel,2,0.09374472498893738
process parameters,pp,ShallowMLPModel,3,0.04505592957139015
process parameters,pp,ShallowMLPModel,4,0.015214046463370323
process parameters,pp,ShallowMLPModel,5,0.02947160229086876
process parameters,pp,ShallowMLPModel,6,0.064203642308712
process parameters,pp,ShallowMLPModel,7,0.3405764698982239
process parameters,pp,ShallowMLPModel,8,0.1846204400062561
process parameters,pp,ShallowMLPModel,9,0.03219081461429596
process parameters,pp,ShallowMLPModel,10,0.17267948389053345
process parameters,pp,ShallowMLPModel,11,0.12842248380184174
process parameters,pp,ShallowMLPModel,12,0.009589962661266327
process parameters,pp,ShallowMLPModel,13,0.12141601741313934
process parameters,pp,ShallowMLPModel,14,0.12232077121734619
process parameters,pp,ShallowMLPModel,15,0.005218572914600372
process parameters,pp,ShallowMLPModel,16,0.1046345978975296
